text,booster_count
Yes. You must have heard the rumour that went around during orbital check-out.,1
Oh?,0
"I suppose so. Though, of course, there's a more sinister explanation.",0
I suppose the idea was specialized training.,0
"No. I never did, either.",1
"I must say, I never did understand why they split us into two groups for training.",2
I don't think we should make any fuss about it yet. I'm sure they'll straighten it out.,0
"Well, what do you think we ought to do about it?",0
It's possible.,0
"Not really. They just said it might be because we trained at Houston and they trained in Marshall, and that we're being charged against differ- ent accounting offices.",0
"Yesterday, I finally called the Accounting Office at Mission Control, and all they could tell me was that they'd received the AGS-19 notification for the other three but not mine, and apparently not yours either.",0
Yes.,0
Really.,0
"Interesting that you mention it, because I've got the same problem.",0
"That's right. Well, naturally, I didn't say anything to Payroll. I assumed they'd start paying me at the higher grade on the next pay cheque. But it's been almost three weeks now and I'm still being paid as an AGS-18.",0
Well I got the papers on my official up-grading to AGS-19 two weeks before we left.,0
Yes?,0
It's about my salary cheques.,0
What's up?,0
"Well, it's nothing really important, but it's annoying.",1
"Sure, what is it?",1
"Dave, if you've a minute, I'd like your advice on something.",0
"Okay, come on down.",0
Okay.,0
Right. Just a sec.,0
"Hi. Frank... coming in, please.",0
