movie_id,title,bechdel_score,female_subjects,female_objects,female_ratio,male_subjects,male_objects,male_ratio,ratio_diff,significant_diff
m298,citizen kane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m299,clerks.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m3,2001: a space odyssey,0.0,14.0,1.0,0.9333333333333333,83.0,16.0,0.8383838383838383,-0.094949494949495,False
m30,big fish,1.0,51.0,7.0,0.8793103448275862,147.0,44.0,0.7696335078534031,-0.10967683697418307,True
m300,cliffhanger,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m301,a clockwork orange,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m302,collateral,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m303,conspiracy theory,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m305,cool hand luke,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m306,copycat,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m312,cruel intentions,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m316,dave,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m317,day of the dead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m318,dead poets society,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m321,demolition man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m323,die hard,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m324,dog day afternoon,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m326,do the right thing,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m328,dune,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m329,ed wood,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m330,edtv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m331,election,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m332,l.a. confidential,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m333,enemy of the state,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m336,erin brockovich,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m338,escape from the planet of the apes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m339,escape from l.a.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m34,blade runner,1.0,59.0,11.0,0.8428571428571429,121.0,17.0,0.8768115942028986,0.0339544513457557,False
m340,excalibur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m343,face/off,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m346,fantastic voyage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m348,fight club,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m349,final destination 2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m35,blast from the past,3.0,212.0,30.0,0.8760330578512396,316.0,64.0,0.8315789473684211,-0.044454110482818554,False
m350,final destination,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m351,rambo: first blood part ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m353,five easy pieces,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m355,fletch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m359,friday the 13th part iii,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m36,blue velvet,1.0,135.0,6.0,0.9574468085106383,324.0,52.0,0.8617021276595744,-0.09574468085106391,False
m362,friday the 13th part viii: jason takes manhattan,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m364,gandhi,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m365,gattaca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m367,get carter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m368,glengarry glen ross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m371,gone in sixty seconds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m372,goodfellas,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m373,good will hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m375,grosse pointe blank,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m377,hackers,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m379,halloween,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m380,hannah and her sisters,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m383,heathers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m384,heavenly creatures,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m390,hotel rwanda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m391,house on haunted hill,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m393,hellraiser iii: hell on earth,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m394,hudson hawk,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m396,i walked with a zombie,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m4,48 hrs.,2.0,34.0,12.0,0.7391304347826086,242.0,42.0,0.852112676056338,0.11298224127372936,True
m400,i still know what you did last summer,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m401,isle of the dead,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m403,jaws 2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m404,jaws 3-d,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m405,jaws: the revenge,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m408,jerry maguire,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m409,jurassic park iii,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m411,jurassic park,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m412,freddy vs. jason,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m414,king kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m415,klute,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m416,kramer vs. kramer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m418,lake placid,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m42,casablanca,1.0,171.0,33.0,0.8382352941176471,254.0,30.0,0.8943661971830986,0.05613090306545154,False
m422,"lock, stock and two smoking barrels",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m425,lost in translation,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m428,magnolia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m43,cast away,2.0,88.0,11.0,0.8888888888888888,177.0,20.0,0.8984771573604061,0.00958826847151728,False
m432,man on the moon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m435,meet joe black,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m438,midnight cowboy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m439,midnight express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m441,misery,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m442,mission: impossible ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m444,moonstruck,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m445,monty python and the holy grail,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m448,mulholland dr.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m451,my girl,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m453,nashville,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m454,natural born killers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m458,never been kissed,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m461,a nightmare on elm street 3: dream warriors,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m462,notting hill,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m465,on the waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m468,pearl harbor,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m469,peggy sue got married,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m47,dark star,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m471,philadelphia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m472,pitch black,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m473,planet of the apes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m474,platoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m477,point break,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m478,predator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m479,pretty woman,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m482,psycho,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m483,maniac,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m484,vampyr,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m489,star wars: episode vi - return of the jedi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m492,who framed roger rabbit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m494,ronin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m496,rush hour 2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m497,rush hour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m498,runaway bride,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m499,sleepless in seattle,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m50,donnie darko,3.0,199.0,37.0,0.8432203389830508,182.0,27.0,0.8708133971291866,0.027593058146135774,False
m500,salt of the earth,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m502,saving private ryan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m503,say anything...,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m505,scream 2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m506,scream 3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m511,shakespeare in love,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m516,sister act,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m517,sleepy hollow,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m528,sphere,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m529,star wars,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m530,starship troopers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m531,star trek: the motion picture,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m533,stepmom,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m536,dr. strangelove or: how i learned to stop worrying and love the bomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m537,suburbia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m539,sunset blvd.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m540,supergirl,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m541,superman iii,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m542,superman ii,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m543,superman iv: the quest for peace,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m546,sweet smell of success,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m55,eternal sunshine of the spotless mind,2.0,136.0,16.0,0.8947368421052632,317.0,75.0,0.8086734693877551,-0.08606337271750808,False
m56,even cowgirls get the blues,3.0,7.0,4.0,0.6363636363636364,161.0,41.0,0.7970297029702971,0.16066606660666072,True
m57,event horizon,3.0,124.0,37.0,0.7701863354037267,498.0,107.0,0.8231404958677686,0.05295416046404189,False
m570,three kings,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m571,thx 1138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m576,tombstone,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m577,tomorrow never dies,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m579,toy story,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m58,fantastic four,1.0,64.0,14.0,0.8205128205128205,214.0,25.0,0.895397489539749,0.07488466902692847,False
m581,traffic,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m582,trainspotting,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m583,star trek v: the final frontier,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m584,tron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m585,true lies,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m586,true romance,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m587,twelve monkeys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m59,fast times at ridgemont high,2.0,39.0,5.0,0.8863636363636364,178.0,27.0,0.8682926829268293,-0.01807095343680709,False
m590,unbreakable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m591,unforgiven,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m594,vertigo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m6,8mm,1.0,37.0,17.0,0.6851851851851852,256.0,38.0,0.8707482993197279,0.18556311413454263,True
m60,fear and loathing in las vegas,1.0,152.0,20.0,0.8837209302325582,87.0,12.0,0.8787878787878788,-0.0049330514446793705,False
m601,what lies beneath,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m606,wild things,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m607,wild wild west,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m608,willow,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m609,witness,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m612,watchmen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m615,young frankenstein,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
m62,frances,3.0,195.0,27.0,0.8783783783783784,238.0,54.0,0.815068493150685,-0.06330988522769343,False
m65,from dusk till dawn,1.0,61.0,6.0,0.9104477611940298,141.0,29.0,0.8294117647058824,-0.08103599648814741,False
m67,godzilla,3.0,49.0,9.0,0.8448275862068966,76.0,12.0,0.8636363636363636,0.018808777429467072,False
m68,galaxy quest,1.0,48.0,23.0,0.676056338028169,304.0,23.0,0.9296636085626911,0.25360727053452214,True
m7,a nightmare on elm street 4: the dream master,3.0,4.0,7.0,0.36363636363636365,87.0,8.0,0.9157894736842105,0.5521531100478468,True
m72,ghost world,3.0,398.0,88.0,0.8189300411522634,573.0,77.0,0.8815384615384615,0.06260842038619807,False
m74,ghostbusters ii,2.0,10.0,1.0,0.9090909090909091,206.0,20.0,0.911504424778761,0.002413515687851975,False
m75,ghostbusters,2.0,58.0,7.0,0.8923076923076924,161.0,16.0,0.9096045197740112,0.017296827466318887,False
m78,grand hotel,3.0,101.0,47.0,0.6824324324324325,354.0,36.0,0.9076923076923077,0.22525987525987523,True
m80,halloween h20: 20 years later,3.0,85.0,13.0,0.8673469387755102,62.0,28.0,0.6888888888888889,-0.17845804988662128,True
m84,harold and maude,3.0,102.0,18.0,0.85,134.0,23.0,0.8535031847133758,0.003503184713375851,False
m85,hellbound: hellraiser ii,1.0,3.0,5.0,0.375,48.0,11.0,0.8135593220338984,0.43855932203389836,True
m86,hellboy,1.0,16.0,9.0,0.64,110.0,15.0,0.88,0.24,True
m87,hellraiser,3.0,134.0,16.0,0.8933333333333333,183.0,33.0,0.8472222222222222,-0.0461111111111111,False
m89,highlander,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
